INSTITUTION,INSTITUTION_NAME,INSTITUTION_TYPE_CODE,INSTITUTION_TYPE_EN_DESC,POSTAL_CODE,UNIV,MAIN
NORT,Northern College,,Timmins Campus,P4N8R6,0,0
NORT,Northern College,35063001,Porcupine Site,P4N8R6,0,1
NORT,Northern College,35063008,Open Learning,P4N8R6,0,0
NORT,Northern College,35063003,James Bay Education Centre Campus,P0L1Y0,0,0
NORT,Northern College,35063006,Contact North,P4N8R6,0,0
NORT,Northern College,35063009,Contact North Haileybury,P0J1K0,0,0
NORT,Northern College,35063007,Contact South,P4N8R6,0,0
SAUL,Sault College,35066001,Main Campus,P6A5L3,0,1
SENE,Seneca College,35067007,Yorkgate Campus,M3N3A1,0,0
SENE,Seneca College,,Vaughan Campus,L6A4H6,0,0
SENE,Seneca College,,Scarborough Campus,M1V0B8,0,0
SENE,Seneca College,,Peterborough Aviation Campus,K9J0E7,0,0
SENE,Seneca College,35067004,Newmarket Campus,L3X1V6,0,0
SENE,Seneca College,35067002,Markham Campus,L3R5Y1,0,0
SENE,Seneca College,35067005,King Campus,L7B1B3,0,0
SENE,Seneca College,35067008,Jane Campus,M3L1A2,0,0
SENE,Seneca College,35067001,Newnham Campus,M2J2X5,0,1
SENE,Seneca College,35067006,Seneca @ York Campus,M3J3M6,0,0
SHER,Sheridan College,35068003,Skills Training Centre,L6H1M3,0,0
SHER,Sheridan College,35068004,Hazel McCallion Campus,L5B0G5,0,0
SHER,Sheridan College,35068002,Davis Campus,L6Y5H9,0,0
SHER,Sheridan College,35068001,Main Campus / Trafalgar Road Campus,L6H2L1,0,1
STCL,St. Clair College,35064002,Thames Campus,N7M5W4,0,0
STCL,St. Clair College,35064004,Mediaplex,N9A6Z8,0,0
STCL,St. Clair College,35064003,Centre for the Arts,N9A5K4,0,0
STCL,St. Clair College,35064001,South Campus,N9A6S4,0,1
STCL,St. Clair College,35064005,Acumen,M3B3M1,0,0
SLAW,St. Lawrence College,,Kingston Campus,K7L5A6,0,0
SLAW,St. Lawrence College,35065002,Cornwall Campus,K6H4Z1,0,0
SLAW,St. Lawrence College,35065003,Brockville Campus,K6V5X3,0,0
ALGM,Algoma University,35024001,Algoma University,P6A2G4,1,1
BRCK,Brock University,35001001,Brock University,L2S3A1,1,1
CARL,Carleton University,35002001,Carleton University,K1S5B6,1,1
CARL,Carleton University,35002002,Carleton  University  - Dominican University College,K1R7G3,1,0
GUEL,University of Guelph,35004001,University of Guelph,N1G2W1,1,1
GUEL,University of Guelph,35004002,Kemptville College,K0G1J0,1,0
GUEL,University of Guelph,35004003,Ridgetown College,N0P2C0,1,0
GUEL,University of Guelph,35004005,University of Guelph - Humber Campus,M9W5L7,1,0
HRST,Universite de Hearst,,Kapuskasing Campus,P5N1J6,1,0
HRST,Universite de Hearst,,Timmins Campus,P4N0A8,1,0
HRST,Universite de Hearst,35006003,Le collège universitaire de Hearst,P0L1N0,1,0
LAKE,Lakehead University,35005001,Lakehead University,L3V7X5,1,1
LAKE,Lakehead University,,Thunder Bay Campus,P7B5E1,1,0
LAKE,Lakehead University,35005003,Lakehead University - Orillia Campus,L3V0B9,1,0
LAUR,Laurentian University,35006008,Laurentian BARRIE,L4M3X9,1,0
LAUR,Laurentian University,35006001,Laurentian University,P3E2C6,1,1
LAUR,Laurentian University,35006007,Laurentian University - Off Campus Centres,P7E2C6,1,0
MAC,McMaster University,35007001,McMaster University,L8S4L8,1,1
